board_id	page	post_id	title	author	date	replies	views
10	1	10	武夷山黄山大熊猫等9卷	狂风暴雨车工	2025-05-12 06:13:46	4	107
10	1	10	长期收购：精制币--生肖精制币-遗产精....动物精制币-人物精制币[长]	高培红	2025-05-12 06:07:19	0	7
11	1	11	长期收购：拖拉机，纺织，大桥，凸大桥，凸纺织等三版币	高培红	2025-05-12 06:06:19	0	4
11	1	11	长期全国收购：三版劳动1角整包，大桥2....整包，纺织工人5角整包[长]	高培红	2025-05-12 06:04:48	0	6
11	1	11	高价收购：二三版纸币 二、三版刀、捆、整包	高培红	2025-05-12 06:02:18	0	4
10	1	10	收购：建行纪念币整卷，9品以上	高培红	2025-05-12 06:01:17	0	8
11	1	11	长期全国收购：三版劳动1角整包，大桥2....，1元拖拉机，5元炼钢[长]	高培红	2025-05-12 06:00:47	0	4
10	1	10	二龙 二蛇 旦角 东北虎豹	营口王勇	2025-05-12 05:58:09	1	89
10	1	10	[原创]12.2出蛇币10卷	wdfwdf	2025-05-12 05:55:16	2	55
10	1	10	代友出二蛇12.1（8卷），京剧旦角6（4卷）	小飞棕	2025-05-12 05:55:10	2	101
8	1	8	求购女排、建国、熊猫、小火箭、水浒等J.T不成套散票	林中楼阁	2025-05-12 05:54:02	23	625
10	1	10	12.2售21卷蛇1虎1龙	辞忧	2025-05-12 05:52:07	3	164
8	1	8	收套票一些	人不如故	2025-05-12 05:50:41	14	413
9	1	9	980元出10个中国银龙公博评级首发。	红石山泉	2025-05-12 05:47:34	0	28
11	1	11	售背绿一刀 无347 全新原票百连	广州陈苏庆	2025-05-12 05:44:03	1	298
10	1	10	出三江源大熊猫15对盒	赵远涛	2025-05-12 05:42:31	4	236
11	1	11	出美国评级全品背绿一角！车工工！	鑫泉收藏	2025-05-12 05:40:55	4	104
10	1	10	出奥运一组康银阁册	哈尔滨祥钰藏品	2025-05-12 05:26:38	2	36
11	1	11	出一分刀币大全	哈尔滨祥钰藏品	2025-05-12 05:26:08	2	32
11	1	11	出一分二分捆刀	哈尔滨祥钰藏品	2025-05-12 05:25:35	4	117
10	1	10	12.3出1000枚二蛇	安阳散户	2025-05-12 05:24:27	0	63
9	1	9	求购龙银币，900一个要5桶	若水藏品	2025-05-12 05:13:59	0	34
7	1	7	售jp290蛇靓号8888。。。。。。。。。。。。。。	清逸轩	2025-05-12 05:12:01	5	154
7	1	7	售jp290蛇片4刀连号。。。。。。。。。。。	清逸轩	2025-05-12 05:11:38	4	211
8	1	8	老纪特新零票（纪票）	为民邮社	2025-05-12 05:06:25	21	554
11	1	11	低售爱藏评级倒置圆圆仁三 大桥百联	川渝小沈	2025-05-12 05:04:00	3	58
9	1	9	1750出一枚24年无47无盒梅花龙	李兵哥	2025-05-12 05:02:52	2	219
10	1	10	蛇纪念币  京剧旦纪念币	嘉多多	2025-05-12 04:49:55	0	40
9	1	9	1050出云商第一批永结同心银币	王军礼品	2025-05-12 04:34:52	4	471
9	1	9	批发零售龙年银币包装	温州尚祥贸易	2025-05-12 04:17:38	10	278
8	1	8	要 毛泽东 周恩来	重庆小朱	2025-05-12 03:45:32	3	119
8	1	8	售：奔马，西游记	小鱼钩	2025-05-12 03:26:48	8	347
9	1	9	890出中国龙银币1桶	爱上东方红	2025-05-12 03:25:14	6	366
11	1	11	炼钢13张	春城泉之缘	2025-05-12 03:23:02	2	102
11	1	11	车工一张	春城泉之缘	2025-05-12 03:20:16	2	84
10	1	10	请朋友确认一些蛇币	齐河老李收藏	2025-05-12 03:19:09	1	72
10	1	10	出康银阁四季卡蛇币	梦野	2025-05-12 03:04:19	3	65
9	1	9	13.19.21.22银猫一些。。。	叶润舒	2025-05-12 02:53:52	6	171
11	1	11	求购1分，2分，5分捆包麻，各种3版刀捆求购文交所钱币变现	快乐藏家	2025-05-12 02:27:31	13	760
11	1	11	出售错币体系之字变体	快乐藏家	2025-05-12 02:25:50	4	59
10	1	10	出售2猪 2狗 2鸡 2猴 高铁 孙中山纪念币	快乐藏家	2025-05-12 02:25:27	11	437
11	1	11	出售2分荧光绝中绝收藏级刀	快乐藏家	2025-05-12 02:24:56	14	225
11	1	11	出售2分绝中绝收藏级刀货	快乐藏家	2025-05-12 02:17:39	14	298
9	1	9	特价出售24年公斤银龙	祥瑞藏品	2025-05-12 01:43:46	7	414
9	1	9	出2024封装150g彩银龙一枚	康鸡老弟	2025-05-12 01:26:20	0	35
9	1	9	求购2025银龙原桶	中国投资收藏	2025-05-12 01:14:23	2	1228
10	1	10	12.4出1000枚蛇币！！！	蜡笔收藏	2025-05-12 01:13:00	0	122
9	1	9	上海高价收购2025中国龙银币原桶	中国投资收藏	2025-05-12 01:12:29	0	70
10	1	10	卖二鸡6盒	高继成	2025-05-12 01:12:19	1	55
11	1	11	全新长号分币一套	上校军官	2025-05-12 01:09:49	0	28
11	1	11	全品原票红一元	上校军官	2025-05-12 01:03:30	0	47
9	1	9	收 24金银套盒 封装	加载中	2025-05-12 01:02:52	0	21
8	1	8	文革套票	经典邮票	2025-05-12 00:58:57	5	277
10	1	10	12.8出十一盒蛇币	珠三角陈俊依	2025-05-12 00:58:54	1	116
10	1	10	12.2快出4卷蛇币	虞阳	2025-05-12 00:41:38	2	276
11	1	11	卖18K1分  ，原捆的，好品	新金源	2025-05-12 00:30:56	2	88
11	1	11	大团结41张	13001800581	2025-05-12 00:30:22	18	352
9	1	9	快出新龙散币10枚	鸿博钱币收藏	2025-05-12 00:27:52	5	392
9	1	9	高价收 小奔富	加载中	2025-05-12 00:24:52	0	61
9	1	9	出金总封装名画系列捣练图.千里江山图银套各两套	批发羊皮的狼	2025-05-12 00:16:16	2	30
9	1	9	收 梅花龙	加载中	2025-05-12 00:14:53	5	210
10	1	10	12求购二蛇500个	二帅钱币	2025-05-12 00:13:34	1	136
11	1	11	大桥靓号四对子一张	业精于勤	2025-05-12 00:13:14	1	26
9	1	9	高价收 梅花龙	加载中	2025-05-12 00:12:36	0	78
10	1	10	奥运卷拆品奥一25套37/枚奥二22奥....14/套动物等如图通走[长]	石文志	2025-05-12 00:08:26	0	19
10	1	10	〓5月11日京沪钱币市场纪念钞币行情报道〓	王亮	2025-05-12 00:07:17	2	1078
9	1	9	135元出2023年贺岁银币4套	沙漠飞鸿	2025-05-12 00:04:41	0	14
9	1	9	售中国龙银币香港ngc70首日一个	西北王	2025-05-12 00:04:03	1	133
9	1	9	出12年本金银兔和彩金银兔	赵氏钱庄	2025-05-12 00:04:03	0	14
10	1	10	12.2收蛇币  6.2收旦角	小易爱收藏	2025-05-12 00:03:29	28	1532
9	1	9	出中国龙.香港城市卡	西北王	2025-05-12 00:02:36	1	157
9	1	9	出云商永结同心银币	王红亮	2025-05-12 00:00:29	3	358
10	1	10	二龙5卷	宿州刘磊	2025-05-11 23:59:58	5	319
